"","site_model_name","clock_model_name","tree_prior_name","marg_log_lik","marg_log_lik_sd","weight","ess"
"1","GTR","relaxed_log_normal","birth_death",-7849.81087918396,6.26631106539105,1.42153588348011e-11,7.32811770889516
"2","GTR","relaxed_log_normal","yule",-7914.8249138897,5.90263589459745,8.27030084522214e-40,7.97336590508252
"3","GTR","strict","birth_death",-7855.15349006745,6.44664388579409,6.79972581925498e-14,7.51741755516758
"4","GTR","strict","yule",-7832.99924104274,5.07212648088766,0.000284419588300058,10.6512491112615
"5","HKY","relaxed_log_normal","birth_death",-7841.94457785006,4.91245379719836,0.0000000370722623003743,15.354757922815
"6","HKY","relaxed_log_normal","yule",-7841.22014852684,5.72267030527335,0.0000000765005833513362,6.35920326963275
"7","HKY","strict","birth_death",-7841.25553999564,5.32355524976211,0.0000000738404657338973,7.87288557175105
"8","HKY","strict","yule",-7838.59813213712,5.87358415213851,0.00000105291180852524,6.82194829487509
"9","JC69","relaxed_log_normal","birth_death",-7827.30811999692,3.81712651164746,0.0842523395738952,6.16604968444884
"10","JC69","relaxed_log_normal","yule",-7834.41597313874,4.48739178941767,0.0000689732311813744,8.86251491065379
"11","JC69","strict","birth_death",-7824.92362391251,3.39101608305265,0.914440518145553,7.54603035585944
"12","TN93","relaxed_log_normal","birth_death",-7837.98285112585,5.40896710051912,0.00000194807262883435,6.78860281331979
"13","TN93","relaxed_log_normal","yule",-7855.04065698616,6.29486094348535,7.61191948471766e-14,7.3476375324637
"14","TN93","strict","birth_death",-7841.79681737472,5.36259633350905,0.0000000429754713166229,5.30861017577316
"15","TN93","strict","yule",-7831.79268443771,4.61984134101696,0.000950518073490714,6.53218428501778
